category_name,comment_count_rate
News & Politics,0.3804690602856069
Comedy,0.22383073320740038
Gaming,0.21634718920774695
Science & Technology,0.20793663362412906
Nonprofits & Activism,0.20153805309134207
Howto & Style,0.19202343247918302
Sports,0.19100585762052757
Autos & Vehicles,0.18387610204832303
Pets & Animals,0.16295403602352052
People & Blogs,0.16170897198082146
Travel & Events,0.1579545787219951
Film & Animation,0.13221371059064355
Education,0.12169269404495353
Entertainment,
Movies,
Music,
Shows,
